# TUM trajectory (T_wc) exported for RTSGS projection convention
# World: Habitat Y-up. Camera: OpenCV (x right, y down, z forward)
# Frames: 100, FPS: 30
# timestamp tx ty tz qx qy qz qw
0.000000 3.003270 0.670531 -0.123176 0.357961 0.502895 0.749326 -0.239730
0.033333 3.003792 0.670531 -0.122744 0.365791 0.483407 0.760929 -0.231303
0.066667 3.005078 0.670531 -0.121678 0.373384 0.463606 0.772040 -0.222727
0.100000 3.007539 0.670531 -0.119639 0.380736 0.443505 0.782652 -0.214007
0.133333 3.011648 0.670531 -0.116234 0.387842 0.423117 0.792758 -0.205149
0.166667 3.017872 0.670531 -0.111080 0.394697 0.402455 0.802351 -0.196158
0.200000 3.026630 0.670531 -0.103836 0.407504 0.381859 0.807518 -0.189838
0.233333 3.038277 0.670531 -0.094223 0.420045 0.361012 0.812157 -0.183395
0.266667 3.053098 0.670531 -0.082036 0.432310 0.339929 0.816264 -0.176831
0.300000 3.071303 0.670531 -0.067152 0.444293 0.318623 0.819837 -0.170152
0.333333 3.093026 0.670531 -0.049544 0.455984 0.297108 0.822872 -0.163361
0.366667 3.118329 0.670531 -0.029293 0.494475 0.287983 0.801012 -0.175897
0.400000 3.147211 0.670531 -0.006597 0.531878 0.278224 0.777390 -0.188047
0.433333 3.179616 0.670531 0.018214 0.568111 0.267853 0.752059 -0.199782
0.466667 3.215446 0.670531 0.044664 0.603094 0.256893 0.725072 -0.211078
0.500000 3.254568 0.670531 0.072118 0.636750 0.245368 0.696491 -0.221910
0.533333 3.296814 0.670531 0.099769 0.715578 0.218129 0.618401 -0.240724
0.566667 3.341973 0.670531 0.126628 0.784812 0.187966 0.532019 -0.256310
0.600000 3.389795 0.670531 0.151418 0.843523 0.155282 0.438505 -0.268459
0.633333 3.439994 0.670531 0.172391 0.890924 0.120517 0.339111 -0.277009
0.666667 3.492126 0.670531 0.187265 0.926380 0.084135 0.235170 -0.281845
0.700000 3.545300 0.670531 0.193560 0.948868 0.060200 0.150715 -0.270757
0.733333 3.597874 0.670531 0.189220 0.963449 0.035764 0.065005 -0.257412
0.766667 3.647466 0.670531 0.173144 0.970000 0.011029 -0.021247 -0.241922
0.800000 3.691459 0.670531 0.145476 0.968467 -0.013797 -0.107323 -0.224416
0.833333 3.727867 0.670531 0.107708 0.958863 -0.038509 -0.192503 -0.205040
0.866667 3.755958 0.670531 0.062322 0.945411 -0.049610 -0.254298 -0.197659
0.900000 3.776074 0.670531 0.011965 0.928010 -0.060505 -0.315031 -0.189454
0.933333 3.788943 0.670531 -0.041260 0.906732 -0.071147 -0.374448 -0.180457
0.966667 3.795189 0.670531 -0.095924 0.881666 -0.081491 -0.432300 -0.170706
1.000000 3.795177 0.670531 -0.151030 0.852918 -0.091496 -0.488347 -0.160241
1.033333 3.788941 0.670531 -0.205706 0.818241 -0.099950 -0.545427 -0.151661
1.066667 3.776111 0.670531 -0.258924 0.779795 -0.107945 -0.599995 -0.142382
1.100000 3.755970 0.670531 -0.309222 0.737758 -0.115442 -0.651800 -0.132447
1.133333 3.727770 0.670531 -0.354537 -0.692323 0.122408 0.700603 0.121901
1.166667 3.691292 0.670531 -0.392339 -0.643699 0.128809 0.746179 0.110795
1.200000 3.647347 0.670531 -0.420167 -0.611858 0.134447 0.772234 0.105868
1.233333 3.597859 0.670531 -0.436357 -0.578946 0.139850 0.796939 0.100756
1.266667 3.545341 0.670531 -0.440622 -0.545022 0.145008 0.820249 0.095468
1.300000 3.492109 0.670531 -0.434148 -0.510145 0.149912 0.842126 0.090013
1.333333 3.439714 0.670531 -0.419078 -0.474376 0.154555 0.862529 0.084400
1.366667 3.388856 0.670531 -0.397724 -0.462991 0.160945 0.867470 0.085039
1.400000 3.339650 0.670531 -0.371988 -0.451515 0.167305 0.872242 0.085661
1.433333 3.291942 0.670531 -0.343205 -0.439951 0.173631 0.876843 0.086267
1.466667 3.245496 0.670531 -0.312256 -0.428301 0.179924 0.881273 0.086855
1.500000 3.200076 0.670531 -0.279734 -0.416567 0.186182 0.885531 0.087427
1.533333 3.155462 0.670531 -0.246067 -0.420230 0.194337 0.881478 0.092933
1.566667 3.111454 0.670531 -0.211583 -0.423840 0.202468 0.877313 0.098427
1.600000 3.067868 0.670531 -0.176552 -0.427396 0.210573 0.873038 0.103909
1.633333 3.024532 0.670531 -0.141204 -0.430898 0.218652 0.868651 0.109377
1.666667 2.981279 0.670531 -0.105752 -0.434345 0.226702 0.864155 0.114832
1.700000 2.937943 0.670531 -0.070404 -0.474223 0.232279 0.838225 0.136153
1.733333 2.894357 0.670531 -0.035373 -0.512798 0.237218 0.809991 0.157099
1.766667 2.850349 0.670531 -0.000890 -0.549964 0.241505 0.779531 0.177614
1.800000 2.805736 0.670531 0.032778 -0.585618 0.245128 0.746929 0.197641
1.833333 2.760315 0.670531 0.065299 -0.619662 0.248077 0.712273 0.217125
1.866667 2.713869 0.670531 0.096248 0.707761 -0.220112 -0.626717 -0.240521
1.900000 2.666161 0.670531 0.125031 0.784245 -0.188535 -0.530876 -0.259971
1.933333 2.616955 0.670531 0.150768 0.847860 -0.153864 -0.426322 -0.275154
1.966667 2.566097 0.670531 0.172122 0.897560 -0.116668 -0.314772 -0.285821
2.000000 2.513702 0.670531 0.187191 0.932530 -0.077557 -0.198057 -0.291798
2.033333 2.460470 0.670531 0.193665 0.952676 -0.053809 -0.113417 -0.276857
2.066667 2.407952 0.670531 0.189400 0.964860 -0.029611 -0.027830 -0.259603
2.100000 2.358464 0.670531 0.173211 0.968981 -0.005165 0.057990 -0.240178
2.133333 2.314519 0.670531 0.145383 0.965005 0.019323 0.143326 -0.218747
2.166667 2.278041 0.670531 0.107580 0.952964 0.043650 0.227464 -0.195488
2.200000 2.249842 0.670531 0.062265 0.938321 0.052876 0.285950 -0.187054
2.233333 2.229700 0.670531 0.011967 0.920122 0.061902 0.343353 -0.177912
2.266667 2.216870 0.670531 -0.041251 0.898434 0.070693 0.399453 -0.168095
2.300000 2.210634 0.670531 -0.095927 0.873340 0.079216 0.454039 -0.157641
2.333333 2.210622 0.670531 -0.151033 0.844934 0.087439 0.506904 -0.146589
2.366667 2.216868 0.670531 -0.205697 0.811704 0.094399 0.559432 -0.138785
2.400000 2.229738 0.670531 -0.258922 0.775249 0.100984 0.609737 -0.130430
2.433333 2.249853 0.670531 -0.309279 0.735715 0.107168 0.657619 -0.121556
2.466667 2.277945 0.670531 -0.354665 0.693257 0.112926 0.702889 -0.112200
2.500000 2.314352 0.670531 -0.392433 0.648045 0.118236 0.745367 -0.102398
2.533333 2.358345 0.670531 -0.420100 0.619057 0.125363 0.768843 -0.099662
2.566667 2.407938 0.670531 -0.436176 0.589172 0.132308 0.791204 -0.096781
2.600000 2.460512 0.670531 -0.440516 0.558433 0.139062 0.812419 -0.093760
2.633333 2.513685 0.670531 -0.434222 0.526883 0.145614 0.832455 -0.090604
2.666667 2.565818 0.670531 -0.419348 0.494571 0.151955 0.851285 -0.087315
2.700000 2.616016 0.670531 -0.398375 0.484479 0.168082 0.853376 -0.093687
2.733333 2.663838 0.670531 -0.373584 0.474190 0.184141 0.855121 -0.100021
2.766667 2.708997 0.670531 -0.346725 0.463708 0.200125 0.856518 -0.106314
2.800000 2.751244 0.670531 -0.319074 0.453037 0.216027 0.857566 -0.112564
2.833333 2.790365 0.670531 -0.291621 0.442182 0.231842 0.858265 -0.118768
2.866667 2.826195 0.670531 -0.265170 0.440048 0.263595 0.847421 -0.136945
2.900000 2.858601 0.670531 -0.240360 0.437271 0.294963 0.835339 -0.154922
2.933333 2.887482 0.670531 -0.217664 0.433855 0.325900 0.822036 -0.172672
2.966667 2.912785 0.670531 -0.197413 0.429805 0.356361 0.807533 -0.190170
3.000000 2.934508 0.670531 -0.179805 0.425127 0.386302 0.791850 -0.207390
