iteration,total_loss,num_points
1,0.062023,105168
2,0.049537,132530
3,0.049746,147481
4,0.051075,160114
5,0.050341,168407
6,0.049110,175418
7,0.049788,183493
8,0.046394,183493
9,0.049366,190405
10,0.048488,190405
11,0.045003,196846
12,0.049848,196846
13,0.049983,201718
14,0.047103,204943
15,0.049260,207554
16,0.046259,209536
17,0.046887,211451
18,0.045361,213203
19,0.044395,214917
20,0.047538,216409
21,0.046375,217839
22,0.046369,219328
23,0.043849,220755
24,0.046910,222170
25,0.046364,223512
26,0.042628,224805
27,0.046052,226108
28,0.039953,227379
29,0.048923,228639
30,0.048380,229810
31,0.051805,231043
32,0.044210,232293
33,0.039973,233450
34,0.045134,234531
35,0.043624,235577
36,0.052533,236661
37,0.055215,237638
38,0.038781,238567
39,0.048015,239513
40,0.058736,240437
41,0.048015,241240
42,0.038912,242041
43,0.046969,242933
44,0.051501,243676
45,0.038511,244448
46,0.040654,245205
47,0.036857,245945
48,0.053030,246659
49,0.052304,247299
50,0.036226,247885
51,0.056136,248509
52,0.048414,249158
53,0.063949,249745
54,0.049582,250237
55,0.063037,250785
56,0.038160,251255
57,0.048811,251715
58,0.050247,252205
59,0.054457,252668
60,0.053183,253073
61,0.034977,253478
62,0.055086,253898
63,0.048943,254290
64,0.048934,254686
65,0.059281,255083
66,0.049391,255411
67,0.044382,255740
68,0.034465,256174
69,0.060405,256417
70,0.048482,256745
71,0.060181,257080
72,0.047995,257346
73,0.055479,257591
74,0.034679,257843
75,0.059315,258120
76,0.057477,258389
77,0.040092,258697
78,0.056932,258942
79,0.049038,259241
80,0.058076,259562
81,0.046603,259828
82,0.054555,260136
83,0.053755,260475
84,0.046308,260779
85,0.052464,261126
86,0.051249,261471
87,0.043686,261841
88,0.047091,262227
89,0.035874,262554
90,0.048366,262906
91,0.047156,263238
92,0.036038,263575
93,0.034005,263905
94,0.048082,264166
95,0.056089,264427
96,0.040520,264687
97,0.043059,264965
98,0.054360,265281
99,0.055893,265631
100,0.051903,265968
101,0.044787,266338
102,0.046115,266658
103,0.053456,266989
104,0.044331,267323
105,0.053696,267633
106,0.055152,267909
107,0.049987,268184
108,0.043642,268396
109,0.053559,268525
110,0.051072,268692
111,0.048325,268815
112,0.051951,268937
113,0.046068,269035
114,0.054029,269169
115,0.052759,269282
116,0.048600,269398
117,0.041841,269512
118,0.052145,269607
119,0.052272,269703
120,0.043208,269791
121,0.041797,269889
122,0.042499,269988
123,0.049080,270087
124,0.044923,270168
125,0.044623,270293
126,0.042775,270378
127,0.051143,270478
128,0.044043,270558
129,0.050063,270625
130,0.052079,270705
131,0.042746,270777
132,0.048460,270876
133,0.044989,270953
134,0.048978,271071
135,0.049477,271153
136,0.051295,271268
137,0.041958,271378
138,0.047040,271518
139,0.050815,271648
140,0.050802,271810
141,0.046274,271964
142,0.046506,272123
143,0.045795,272296
144,0.049072,272484
145,0.047510,272692
146,0.040824,272937
147,0.041555,273189
148,0.046145,273509
149,0.044894,273862
150,0.048503,274248
151,0.048026,274621
152,0.044013,275016
153,0.046887,275443
154,0.051729,275833
155,0.039599,276192
156,0.043594,276646
157,0.042671,277107
158,0.044616,277629
159,0.048066,278029
160,0.045473,278354
161,0.045922,278772
162,0.042694,279239
163,0.048105,279858
164,0.047862,280978
165,0.040808,281832
166,0.043523,282956
167,0.043883,284181
168,0.039137,285021
169,0.045671,286231
170,0.048365,287759
171,0.050031,289052
172,0.047728,290473
173,0.045736,292212
174,0.046640,294150
175,0.044811,295814
176,0.052232,297416
177,0.054777,299028
178,0.049673,300829
179,0.045041,302625
180,0.040793,304384
181,0.046059,306228
182,0.071720,307986
183,0.041830,309657
184,0.038639,311303
185,0.048264,311303
186,0.043427,314368
187,0.042209,314368
188,0.075921,317598
189,0.040224,317598
190,0.050703,320915
191,0.048680,320915
192,0.052503,324201
193,0.045805,324201
194,0.046241,327809
195,0.049713,327809
196,0.053623,331396
197,0.068856,334044
198,0.084895,336471
199,0.043575,338345
200,0.046563,340072
201,0.075742,341779
202,0.044361,343342
203,0.045340,344845
204,0.048096,346426
205,0.044727,347960
206,0.051058,349510
207,0.052461,351143
208,0.066028,353197
209,0.045938,355695
210,0.067725,358283
211,0.040943,360496
212,0.061674,362185
213,0.044246,364483
214,0.086253,364483
215,0.041202,367775
216,0.043987,370005
217,0.043108,372107
218,0.043745,373314
219,0.046275,374188
220,0.045064,374886
221,0.041134,375646
222,0.041845,376548
223,0.068883,377581
224,0.044386,378689
225,0.117168,379682
226,0.088143,380466
227,0.104469,381178
228,0.040969,381762
229,0.101819,382355
230,0.052792,382889
231,0.041602,382889
232,0.045090,383596
233,0.067806,383596
234,0.043831,383946
235,0.046565,383946
236,0.044252,383946
237,0.041257,384221
238,0.052586,384221
239,0.044183,384221
240,0.039151,384221
241,0.099697,384389
242,0.043099,384389
243,0.043030,384532
244,0.045091,384532
245,0.043972,384619
246,0.040606,384619
247,0.040742,384714
248,0.038427,384804
249,0.044978,384890
250,0.053291,384980
251,0.042215,385052
252,0.070405,385123
253,0.045436,385187
254,0.100255,385245
255,0.038972,385309
256,0.068510,385363
257,0.071271,385435
258,0.043881,385495
259,0.069974,385553
260,0.043056,385606
261,0.037861,385658
262,0.045846,385719
263,0.044383,385793
264,0.039917,385879
265,0.049772,385977
266,0.040072,386102
267,0.083195,386196
268,0.066127,386310
269,0.053200,386440
270,0.054306,386552
271,0.040565,386684
272,0.050333,386857
273,0.059372,387020
274,0.083538,387230
275,0.039553,387416
276,0.049129,387640
277,0.042003,387870
278,0.080754,388095
279,0.050041,388304
280,0.069488,388534
281,0.036242,388777
282,0.056991,388996
283,0.060591,389250
284,0.049979,389523
285,0.079957,389829
286,0.056474,390134
287,0.045367,390458
288,0.063317,390763
289,0.045135,391061
290,0.101287,391365
291,0.042300,391725
292,0.055054,392097
293,0.037567,392485
294,0.039438,392858
295,0.051636,393235
296,0.059358,393651
297,0.036269,394038
298,0.044145,394413
299,0.059346,394811
300,0.053022,395229
301,0.053147,404559
302,0.101965,404996
303,0.041452,405389
304,0.036116,405779
305,0.069794,406159
306,0.052778,406513
307,0.041057,406867
308,0.069869,407164
309,0.054480,407440
310,0.055099,407653
311,0.051728,407840
312,0.045480,408086
313,0.053256,408316
314,0.039096,408540
315,0.045885,408745
316,0.064146,408987
317,0.049944,409186
318,0.052616,409415
319,0.080895,409600
320,0.039050,409795
321,0.054270,409957
322,0.048667,410117
323,0.050778,410251
324,0.047739,410359
325,0.052436,410490
326,0.039722,410586
327,0.066406,410688
328,0.034667,410755
329,0.073955,410819
330,0.044628,410871
331,0.078545,410931
332,0.050712,410986
333,0.038868,411020
334,0.041212,411074
335,0.070785,411100
336,0.048226,411123
337,0.039766,411138
338,0.068259,411156
339,0.052975,411176
340,0.045379,411192
341,0.039567,411197
342,0.039187,411205
343,0.040551,411207
344,0.069510,411210
345,0.096039,411212
346,0.054143,411214
347,0.037255,411218
348,0.043755,411222
349,0.041174,411225
350,0.038672,411230
