iteration,avg_loss,num_points
1,0.052084,105168
2,0.049242,132530
3,0.043337,147481
4,0.043896,160114
5,0.037547,168407
6,0.037912,175418
7,0.036076,183493
8,0.033970,183493
9,0.035817,190405
10,0.037369,190405
11,0.033880,196846
12,0.035013,196846
13,0.033390,201718
14,0.033024,204943
15,0.034069,207554
16,0.035436,209536
17,0.032951,211451
18,0.034588,213203
19,0.033100,214917
20,0.033082,216409
21,0.033683,217839
22,0.033743,219328
23,0.035067,220755
24,0.035819,222170
25,0.036458,223512
26,0.035203,224805
27,0.035932,226108
28,0.036145,227379
29,0.036514,228639
30,0.037393,229810
31,0.037489,231043
32,0.037485,232293
33,0.040436,233450
34,0.037911,234531
35,0.038720,235577
36,0.039247,236661
37,0.039157,237638
38,0.041572,238567
39,0.042087,239513
40,0.040265,240437
41,0.040564,241240
42,0.042213,242041
43,0.040380,242933
44,0.040336,243676
45,0.039949,244448
46,0.040651,245205
47,0.040280,245945
48,0.039980,246659
49,0.039288,247299
50,0.039230,247885
51,0.040348,248509
52,0.038105,249158
53,0.038242,249745
54,0.038601,250237
55,0.040227,250785
56,0.037864,251255
57,0.039077,251715
58,0.039737,252205
59,0.037262,252668
60,0.037673,253073
61,0.036747,253478
62,0.036646,253898
63,0.036096,254290
64,0.036686,254686
65,0.036489,255083
66,0.036273,255411
67,0.036988,255740
68,0.036763,256174
69,0.036955,256417
70,0.036682,256745
71,0.036929,257080
72,0.035718,257346
73,0.036117,257591
74,0.035513,257843
75,0.035543,258120
76,0.035489,258389
77,0.034889,258697
78,0.035165,258942
79,0.035010,259241
80,0.034963,259562
81,0.034990,259828
82,0.036391,260136
83,0.035115,260475
84,0.035177,260779
85,0.035062,261126
86,0.036666,261471
87,0.035188,261841
88,0.035213,262227
89,0.037070,262554
90,0.035814,262906
91,0.035908,263238
92,0.037908,263575
93,0.035876,263905
94,0.036106,264166
95,0.035775,264427
96,0.035802,264687
97,0.034930,264965
98,0.035151,265281
99,0.035115,265631
100,0.035026,265968
101,0.034800,266338
102,0.034701,266658
103,0.036075,266989
104,0.034560,267323
105,0.034393,267633
106,0.034568,267909
107,0.034694,268184
108,0.034405,268396
109,0.034355,268525
110,0.034267,268692
111,0.034033,268815
112,0.033737,268937
113,0.034738,269035
114,0.033272,269169
115,0.032565,269282
116,0.032107,269398
117,0.032687,269512
118,0.030602,269607
119,0.030481,269703
120,0.030091,269791
121,0.029536,269889
122,0.028956,269988
123,0.028519,270087
124,0.028134,270168
125,0.027585,270293
126,0.027297,270378
127,0.026957,270478
128,0.026499,270558
129,0.026421,270625
130,0.026321,270705
131,0.026249,270777
132,0.026413,270876
133,0.026232,270953
134,0.025968,271071
135,0.025327,271153
136,0.026499,271268
137,0.025240,271378
138,0.025694,271518
139,0.024882,271648
140,0.026216,271810
141,0.025413,271964
142,0.026154,272123
143,0.026470,272296
144,0.027310,272484
145,0.027030,272692
146,0.026622,272937
147,0.028876,273189
148,0.028476,273509
149,0.028755,273862
150,0.030197,274248
151,0.029854,274621
152,0.030776,275016
153,0.030974,275443
154,0.032389,275833
155,0.031507,276192
156,0.030634,276646
157,0.031226,277107
158,0.030061,277629
159,0.032221,278029
160,0.030772,278354
161,0.031587,278772
162,0.030693,279239
163,0.031329,279858
164,0.030528,280978
165,0.030823,281832
166,0.031655,282956
167,0.031863,284181
168,0.031753,285021
169,0.031186,286231
170,0.031879,287759
171,0.032003,289052
172,0.031603,290473
173,0.031632,292212
174,0.031858,294150
175,0.031999,295814
176,0.030691,297416
177,0.032228,299028
178,0.032059,300829
179,0.032579,302625
180,0.032899,304384
181,0.036482,306228
182,0.036943,307986
183,0.033006,309657
184,0.037521,311303
185,0.032771,311303
186,0.033385,314368
187,0.034831,314368
188,0.032915,317598
189,0.036642,317598
190,0.038091,320915
191,0.035654,320915
192,0.039224,324201
193,0.042638,324201
194,0.043239,327809
195,0.043356,327809
196,0.051432,331396
197,0.053275,334044
