# TUM trajectory generated in Habitat coordinates (Y-up)
# Frames: 100, FPS: 30
# timestamp tx ty tz qx qy qz qw
0.000000 3.005364 1.800000 1.160436 -0.217955 -0.780207 -0.379571 0.446876
0.033333 3.005884 1.800000 1.161059 -0.203836 -0.794390 -0.361932 0.443170
0.066667 3.007169 1.800000 1.162597 -0.189570 -0.807997 -0.344031 0.439143
0.100000 3.009626 1.800000 1.165540 -0.175166 -0.821018 -0.325880 0.434797
0.133333 3.013729 1.800000 1.170453 -0.160635 -0.833444 -0.307493 0.430135
0.166667 3.019944 1.800000 1.177892 -0.145988 -0.845264 -0.288882 0.425162
0.200000 3.028690 1.800000 1.188349 -0.138129 -0.849099 -0.271878 0.431316
0.233333 3.040325 1.800000 1.202232 -0.130215 -0.852591 -0.254764 0.437295
0.266667 3.055139 1.800000 1.219848 -0.122248 -0.855740 -0.237548 0.443098
0.300000 3.073349 1.800000 1.241389 -0.114232 -0.858543 -0.220235 0.448723
0.333333 3.095104 1.800000 1.266917 -0.106170 -0.860999 -0.202834 0.454166
0.366667 3.120490 1.800000 1.296359 -0.116040 -0.833477 -0.195274 0.503706
0.400000 3.149547 1.800000 1.329480 -0.125520 -0.803148 -0.187058 0.551550
0.433333 3.182291 1.800000 1.365869 -0.134578 -0.770116 -0.178212 0.597537
0.466667 3.218746 1.800000 1.404904 -0.143182 -0.734492 -0.168766 0.641513
0.500000 3.258982 1.800000 1.445701 -0.151305 -0.696395 -0.158752 0.683329
0.533333 3.303103 1.800000 1.487075 -0.158569 -0.611301 -0.138497 0.762880
0.566667 3.351231 1.800000 1.527416 -0.163607 -0.517628 -0.116299 0.831726
0.600000 3.403459 1.800000 1.564308 -0.166350 -0.416692 -0.092469 0.888901
0.633333 3.459661 1.800000 1.593992 -0.166759 -0.309910 -0.067341 0.933602
0.666667 3.518900 1.800000 1.611467 -0.164827 -0.198778 -0.041269 0.965203
0.700000 3.578707 1.800000 1.612135 -0.159628 -0.131243 -0.029416 0.977972
0.733333 3.635176 1.800000 1.594097 -0.153648 -0.063066 -0.017419 0.985957
0.766667 3.684256 1.800000 1.558946 -0.146916 0.005420 -0.005337 0.989120
0.800000 3.723391 1.800000 1.510559 -0.139466 0.073879 0.006771 0.987444
0.833333 3.752339 1.800000 1.453343 -0.131333 0.141976 0.018846 0.980938
0.866667 3.772683 1.800000 1.391024 -0.131463 0.193836 0.026599 0.971822
0.900000 3.786489 1.800000 1.326122 -0.131221 0.245146 0.034277 0.959953
0.933333 3.795205 1.800000 1.260022 -0.130607 0.295761 0.041858 0.945365
0.966667 3.799465 1.800000 1.193396 -0.129623 0.345539 0.049320 0.928099
1.000000 3.799453 1.800000 1.126616 -0.128272 0.394338 0.056643 0.908204
1.033333 3.795185 1.800000 1.059989 -0.122365 0.469869 0.066268 0.871698
1.066667 3.786464 1.800000 0.993898 -0.115582 0.542034 0.075418 0.828947
1.100000 3.772605 1.800000 0.929015 -0.107970 0.610314 0.084028 0.780255
1.133333 3.752193 1.800000 0.866680 -0.099585 0.674222 0.092036 0.725973
1.166667 3.723289 1.800000 0.809348 -0.090487 0.733298 0.099385 0.666490
1.200000 3.684341 1.800000 0.760801 -0.083208 0.774497 0.103520 0.618477
1.233333 3.635451 1.800000 0.725662 -0.075590 0.812542 0.107234 0.567947
1.266667 3.579025 1.800000 0.707897 -0.067664 0.847277 0.110511 0.515103
1.300000 3.519070 1.800000 0.708888 -0.059463 0.878562 0.113337 0.460161
1.333333 3.459457 1.800000 0.726599 -0.051020 0.906269 0.115703 0.403345
1.366667 3.402498 1.800000 0.756757 -0.050381 0.912822 0.120638 0.386864
1.400000 3.348823 1.800000 0.794984 -0.049725 0.919066 0.125533 0.370253
